"draw","site_index","cover","site"
49,3,68.1709531411238,"Mahe NW Granite"
50,3,68.4144555972173,"Mahe NW Granite"
51,3,68.6387652727281,"Mahe NW Granite"
52,3,68.8443102204783,"Mahe NW Granite"
53,3,69.032819346916,"Mahe NW Granite"
54,3,69.2061073979243,"Mahe NW Granite"
55,3,69.3636422112119,"Mahe NW Granite"
56,3,69.5061332562799,"Mahe NW Granite"
57,3,69.6358966231373,"Mahe NW Granite"
58,3,69.7529203844257,"Mahe NW Granite"
59,3,69.8585310350843,"Mahe NW Granite"
60,3,69.9548220723287,"Mahe NW Granite"
61,3,70.0425993703081,"Mahe NW Granite"
62,3,70.1226162762373,"Mahe NW Granite"
63,3,70.1963579411095,"Mahe NW Granite"
64,3,70.2634735176444,"Mahe NW Granite"
65,3,70.3245502334897,"Mahe NW Granite"
66,3,70.3801246930534,"Mahe NW Granite"
67,3,70.4306869932177,"Mahe NW Granite"
68,3,70.4767811296883,"Mahe NW Granite"
69,3,70.5187696299426,"Mahe NW Granite"
70,3,70.5569466183723,"Mahe NW Granite"
71,3,70.5916554280442,"Mahe NW Granite"
72,3,70.6232089300205,"Mahe NW Granite"
73,3,70.6518602408288,"Mahe NW Granite"
74,3,70.6779054615165,"Mahe NW Granite"
75,3,70.701444732886,"Mahe NW Granite"
76,3,70.7229512649221,"Mahe NW Granite"
77,3,70.7425023518257,"Mahe NW Granite"
78,3,70.7602750940338,"Mahe NW Granite"
79,3,70.7764723271431,"Mahe NW Granite"
80,3,70.7912136566352,"Mahe NW Granite"
81,3,70.8046073482866,"Mahe NW Granite"
82,3,70.8167762762667,"Mahe NW Granite"
83,3,70.8278321683393,"Mahe NW Granite"
84,3,70.8378766070235,"Mahe NW Granite"
85,3,70.8469518666007,"Mahe NW Granite"
86,3,70.8552009928078,"Mahe NW Granite"
87,3,70.8626991761292,"Mahe NW Granite"
88,3,70.8695146764541,"Mahe NW Granite"
89,3,70.8757095665904,"Mahe NW Granite"
90,3,70.8813402899719,"Mahe NW Granite"
91,3,70.8864581686348,"Mahe NW Granite"
92,3,70.8911098658003,"Mahe NW Granite"
93,3,70.8953378070458,"Mahe NW Granite"
94,3,70.899182636534,"Mahe NW Granite"
95,3,70.9026866948257,"Mahe NW Granite"
96,3,70.9058704174415,"Mahe NW Granite"
97,3,70.9087630706567,"Mahe NW Granite"
98,3,70.9113912501483,"Mahe NW Granite"
99,3,70.9137791241315,"Mahe NW Granite"
100,3,70.9159486544579,"Mahe NW Granite"
1,4,12.4858384558302,"Mahe NW Patch"
2,4,13.4619582213912,"Mahe NW Patch"
3,4,14.4629817806217,"Mahe NW Patch"
4,4,15.4970386867619,"Mahe NW Patch"
5,4,16.6085192143645,"Mahe NW Patch"
6,4,17.8040771606664,"Mahe NW Patch"
7,4,18.9799934116289,"Mahe NW Patch"
8,4,20.2305834580373,"Mahe NW Patch"
9,4,21.4802796469566,"Mahe NW Patch"
10,4,22.8080762638277,"Mahe NW Patch"
11,4,24.17056216229,"Mahe NW Patch"
12,4,25.5311447824409,"Mahe NW Patch"
13,4,26.8777858256275,"Mahe NW Patch"
14,4,28.2163023541669,"Mahe NW Patch"
15,4,29.5530802163754,"Mahe NW Patch"
16,4,30.8697872554337,"Mahe NW Patch"
17,4,32.1199536845831,"Mahe NW Patch"
18,4,33.3774618545185,"Mahe NW Patch"
19,4,34.645152389007,"Mahe NW Patch"
20,4,35.8105874080359,"Mahe NW Patch"
21,4,36.9470855958423,"Mahe NW Patch"
22,4,38.0428373539476,"Mahe NW Patch"
23,4,39.0842429826738,"Mahe NW Patch"
24,4,40.091646814785,"Mahe NW Patch"
25,4,41.0436533363439,"Mahe NW Patch"
26,4,41.9432100486411,"Mahe NW Patch"
27,4,42.788477912866,"Mahe NW Patch"
28,4,43.5706320741766,"Mahe NW Patch"
29,4,44.3301156852321,"Mahe NW Patch"
30,4,45.016725096102,"Mahe NW Patch"
