"Mahe.E.Patch","Mahe.NW.Carbonate","Mahe.NW.Granite","Mahe.NW.Patch","Mahe.W.Carbonate","Mahe.W.Granite","Mahe.W.Patch","Praslin.NE.Granite","Praslin.NE.Patch","Praslin.SW.Granite","Ste.Anne.Granite","Ste.Anne.Patch"
64.2842277877853,68.2030016819634,69.7529203844257,52.4912512355764,92.1441572676254,70.5219559684973,73.1529178187301,80.6870655306003,74.083466855657,99.9686532109168,85.7648334443597,87.2401876122187
64.8035017851519,68.2095758882398,69.8585310350843,52.5478403107307,92.238155495119,70.5346902526549,73.2536517500084,80.6871579031474,74.5740019792539,99.9735119964406,86.4051264623258,87.2502481713115
65.2946011190283,68.2153114917311,69.9548220723287,52.5999858743487,92.3232052669188,70.5459243563122,73.3461845983758,80.6872305794308,75.0350708518607,99.9776177225289,87.0162727305326,87.2589186758951
65.7595089775316,68.2202333707424,70.0425993703081,52.6472227579886,92.4001475015816,70.5558078346278,73.4303163475796,80.6872878161076,75.4638102455497,99.9810870817553,87.6049502135886,87.266381972129
66.1942337952111,68.2244321489572,70.1226162762373,52.6899060635327,92.4697461052402,70.5644478825887,73.5075151406699,80.6873328932174,75.8660092110948,99.9840439543554,88.1625378733547,87.2728060296141
66.6091198026641,68.2280277214499,70.1963579411095,52.7290234563538,92.5329074581198,70.5719786169232,73.578465577291,80.6873683939799,76.2434856914428,99.9865434678984,88.6931446871075,87.2783471597972
67.0004097343381,68.2311177315131,70.2634735176444,52.764848412491,92.5900326025717,70.5786052021467,73.6436637710519,80.6873963528287,76.5981532760731,99.9886598576879,89.1978217870124,87.2831408380265
67.3715015443599,68.2337732413874,70.3245502334897,52.7974493521888,92.6420213514153,70.5844169437947,73.7034525586625,80.6874183376569,76.9308871196239,99.9904433994173,89.6776071366838,87.2872700444247
67.7231111629229,68.2360553312672,70.3801246930534,52.826996153102,92.6889929585872,70.5895009588268,73.7574174317221,80.6874356388861,77.2427099670429,99.9919464363401,90.1335221812343,87.2908022964483
68.0533855885721,68.2380164997071,70.4306869932177,52.8536227270646,92.7314107393892,70.5939347455716,73.8067464404957,80.6874492975003,77.5348272098233,99.9932033239421,90.5665689879054,87.2938350456751
68.3666872500551,68.2397018680304,70.4767811296883,52.8781965569201,92.7697134981231,70.5978122424999,73.8521611377705,80.6874600581253,77.8069478877282,99.994267549954,90.977727837136,87.2964439469809
68.6611266523857,68.2411468966299,70.5187696299426,52.9004401034954,92.8042982560289,70.6012058862252,73.8939681324949,80.6874685349921,78.061262745512,99.9951699108827,91.3679552249292,87.2986930810991
68.9394618271063,68.2423831316283,70.5569466183723,52.9206484177871,92.8355241366246,70.6041665907006,73.9324506346417,80.687475212794,78.3007948469877,99.9959338771649,91.7381822387479,87.3006326241529
69.2024842190375,68.2434467528208,70.5916554280442,52.9390435301402,92.8637159072638,70.6067528855005,73.9678701449934,80.6874804733548,78.5248185449227,99.9965762899216,92.0895757843071,87.3022997292958
69.4509567175119,68.2443618588347,70.6232089300205,52.9558649950814,92.8891947184647,70.6090181658706,74.0006359953993,80.6874846174609,78.7343999152013,99.9971128476042,92.4227241103573,87.3037326587785
69.6856134116049,68.2451491847182,70.6518602408288,52.9711805879936,92.9122810241811,70.6110022638133,74.0314173473724,80.6874878820611,78.9304212304415,99.9975642192402,92.7384662621696,87.3049643026614
69.9071595479279,68.2458265711976,70.6779054615165,52.9851124492509,92.9331105455431,70.6127400719398,74.0596769684725,80.6874904538157,79.1137172437118,99.997944762424,93.0376255415271,87.3060229326982
70.1171291402937,68.246409368524,70.701444732886,52.9977850525187,92.9519032466831,70.6142621552696,74.0856199423028,80.6874924824035,79.2850768893597,99.9982658511715,93.3209957660037,87.3069328505297
70.3145600309077,68.2469107840126,70.7229512649221,53.0093117686861,92.9688577728868,70.6155952874173,74.1094349163151,80.6874940840003,79.4452450500418,99.9985367746103,93.5893412256762,87.3077149449778
70.4993066383749,68.2473421811145,70.7425023518257,53.0197958398407,92.9841534942752,70.6167629204758,74.1312953802056,80.6874953443826,79.594924364999,99.9987652661409,93.8433968008243,87.3083856866998
70.6740439192499,68.2477133367725,70.7602750940338,53.0293312706594,92.9979523577966,70.6177855967618,74.1512082083338,80.6874963362449,79.7347770583882,99.9989584611459,94.0838682187408,87.3089615315245
70.8394558892768,68.248032662873,70.7764723271431,53.0379702142489,93.0104005647126,70.6186813095964,74.1693344723313,80.6874971167945,79.8654267698444,99.9991219521768,94.3114324297211,87.309456781891
70.9963822523541,68.2483073967999,70.7912136566352,53.0458187137525,93.0216300893703,70.6194658194104,74.1859961023375,80.6874977310508,79.9874603723984,99.999259779358,94.5264021045155,87.3098820320745
71.1442689792083,68.2485437653973,70.8046073482866,53.0529680453114,93.0317047564926,70.6201529306922,74.2013108952791,80.687498214442,80.1014297654823,99.9993759713182,94.7288162612143,87.3102490385376
71.2836117168777,68.2487471260491,70.8167762762667,53.0594724901593,93.04074053085,70.6207547346202,74.2155549476884,80.6874985948484,80.207853633035,99.9994739242793,94.9203283322033,87.3105640891535
71.4148818612957,68.2489220880683,70.8278321683393,53.0653901072752,93.0489040748444,70.6212818216224,74.2286580597223,80.6874988942108,80.3072191586994,99.9995565013287,95.1014940924441,87.31083504481
71.5385273937098,68.2490726171423,70.8378766070235,53.0707914002849,93.0562789105885,70.6217434675847,74.2406859480854,80.687499129795,80.3999836918208,99.9996261161117,95.2728444240692,87.3110680769823
71.6549737337947,68.2492021251979,70.8469518666007,53.0757063131674,93.0629502725599,70.6221478680097,74.2517265795634,80.6874993151889,80.486576359442,99.9996848033828,95.4348860438623,87.3112684934286
71.7649599629094,68.2493134244596,70.8552009928078,53.0801769331035,93.0689904624888,70.6225040732534,74.2618607671441,80.6874994610853,80.5673996207566,99.9997342784853,95.5881022574702,87.311440859061
71.8675096444317,68.2494092831196,70.8626991761292,53.084251525165,93.074442790587,70.6228157926063,74.2711627448963,80.687499575899,80.6428307615659,99.9997759874913,95.7329537324902,87.3115890999029
71.9640881630534,68.249491808052,70.8695146764541,53.0879569324381,93.0793842621881,70.6230885816093,74.2797120427867,80.687499666252,80.713186625755,99.9998111494725,95.8698792835431,87.3117165925001
72.0550327376095,68.2495628037145,70.8757095665904,53.0913154696012,93.0838690692143,70.6233273020655,74.2876228347165,80.6874997373558,80.7785622765076,99.999840607032,95.9992966633306,87.3118259891433
72.1406627609512,68.2496238808552,70.8813402899719,53.0943696473242,93.0878897023004,70.6235362086566,74.2948672578574,80.6874997933111,80.8395824957466,99.9998654411779,96.121472697213,87.3119201319868
72.2212805984094,68.249676425182,70.8864581686348,53.0971470221128,93.0914998170649,70.6237190247465,74.3014509739643,80.6874998373453,80.8965333825256,99.9998864059285,96.2362453135541,87.312001300655
72.2974566548524,68.2497216041614,70.8911098658003,53.0996726599383,93.0947588070406,70.6238790087245,74.3074941804306,80.6874998719983,80.9496827733534,99.9999041041907,96.3447320006823,87.3120711073475
72.3687117053089,68.2497604820853,70.8953378070458,53.1019693605629,93.097700808964,70.6240190120648,74.3130411856274,80.6874998992685,80.9992813382245,99.9999190449278,96.4472672375946,87.3121311425295
72.4354920828475,68.2497939915166,70.899182636534,53.1040578617931,93.1003616906823,70.6241415301385,74.3181326763556,80.687499920729,81.0457869396925,99.9999316577967,96.54416877464,87.3121827740295
72.4979999179456,68.2498228807569,70.9026866948257,53.1059570254345,93.1027727598931,70.6242487466819,74.3228060121694,80.6874999376173,81.0892567304987,99.9999423055068,96.6357383518466,87.3122271782043
72.5568708172559,68.249847718693,70.9058704174415,53.1076840065666,93.10494792263,70.6243425727122,74.3270954960479,80.6874999509077,81.1297954684566,99.9999512942509,96.7227679410356,87.312265366741
72.6123125241664,68.2498690734718,70.9087630706567,53.1092544076197,93.10691025377,70.6244246805847,74.3310326232735,80.6874999613666,81.1675989990681,99.9999588825125,96.8051412422149,87.312298209709
72.6645213613328,68.2498874335635,70.9113912501483,53.1106824186037,93.1086805724453,70.6244965337968,74.3346463102346,80.6874999695973,81.2027036596459,99.9999653180731,96.8829287338037,87.3123264553832
72.7136828068063,68.2499032439162,70.9137791241315,53.1119850192553,93.1102776623174,70.6245594130711,74.337963104744,80.6874999760744,81.2354016302102,99.9999707566521,96.956380586425,87.3123507472934
72.7599720472494,68.2499168818844,70.9159486544579,53.113171245616,93.1117184703892,70.6246144391808,74.3410073793383,80.6874999811717,81.2659044466735,99.9999753423906,97.0257338874291,87.3123716388866
